CustomerID,InvoiceNo,Quantity,UnitPrice,InvoiceDate,Description
C10502,538642,172,6.84,2011-07-26 15:05,PACK OF 20 SPACEBOY NAPKINS
C10460,522062,281,1.6,2011-09-06 14:01,VICTORIAN GLASS HANGING T-LIGHT
C10368,531354,51,1.74,2011-12-05 10:26,HAND WARMER UNION JACK
C10522,549120,139,6.41,2011-04-23 14:36,CHILDRENS APRON DOLLY GIRL
C10416,543514,36,4.58,2011-09-20 15:13,CHILDRENS CUTLERY CIRCUS PARADE
C10466,516422,162,2.82,2011-12-06 08:05,MINI PAINT SET VINTAGE
C10156,568292,5,2.41,2011-11-30 10:47,ASSORTED COLOUR BIRD ORNAMENT
C10440,551622,35,2.27,2011-05-12 08:36,SAVE THE PLANET MUG
C10492,541713,145,3.48,2011-09-17 16:29,LUNCH BAG BLACK SKULL
C10419,594152,48,2.07,2011-08-04 08:18,SAVE THE PLANET MUG
C10518,523757,61,7.18,2011-09-06 15:32,SET OF 4 PANTRY JELLY MOULDS
C10183,555032,5,0.86,2011-11-26 09:00,STRAWBERRY CERAMIC TRINKET BOX
C10455,533061,93,3.68,2011-07-12 15:58,RECYCLED ACRYLIC DROP EARRINGS
C10322,598316,49,2.78,2011-02-26 15:29,HAND WARMER UNION JACK
C10519,532245,178,2.69,2010-12-02 15:08,SET 7 BABUSHKA NESTING BOXES
C10423,587717,76,5.75,2011-05-07 14:36,CHILDRENS APRON DOLLY GIRL
C10404,530577,61,3.98,2011-05-15 12:43,CHILDRENS APRON DOLLY GIRL
C10361,589621,51,4.05,2011-09-29 13:17,SET OF 4 PANTRY JELLY MOULDS
C10488,536703,148,1.81,2011-07-06 13:11,SET 7 BABUSHKA NESTING BOXES
C10452,527964,82,2.54,2011-11-15 17:54,ASSORTED COLOUR BIRD ORNAMENT
C10433,539468,25,3.06,2011-04-14 10:45,RECYCLED ACRYLIC DROP EARRINGS
C10287,572205,53,4.25,2011-01-29 08:10,VICTORIAN GLASS HANGING T-LIGHT
C10441,595490,200,1.71,2011-09-06 09:01,RED HARMONIA NOTEBOOK
C10299,597340,21,4.82,2011-05-25 13:31,ASSORTED COLOUR BIRD ORNAMENT
C10273,528024,34,3.34,2011-01-10 15:08,WHITE HANGING HEART T-LIGHT HOLDER
C10282,568355,45,1.67,2011-06-24 17:26,LUNCH BAG PINK POLKADOT
C10280,532449,28,3.69,2011-12-01 16:07,SET 7 BABUSHKA NESTING BOXES
C10404,540059,65,5.39,2011-06-28 08:35,SET 7 BABUSHKA NESTING BOXES
C10511,554789,103,5.67,2011-03-02 10:04,WHITE HANGING HEART T-LIGHT HOLDER
C10461,582116,150,2.57,2011-10-25 13:12,CREAM CUPID HEARTS COAT HANGER
C10505,572149,165,8.03,2011-09-12 15:11,GLASS STAR FROSTED T-LIGHT HOLDER
C10473,559298,173,4.5,2011-04-21 12:03,SAVE THE PLANET MUG
C10252,515693,36,2.82,2010-12-01 14:33,SET 7 BABUSHKA NESTING BOXES
C10304,557522,40,2.73,2011-03-07 16:39,PACK OF 20 SPACEBOY NAPKINS
C10359,533584,21,4.91,2011-09-02 10:25,HAND WARMER RED POLKA DOT
C10471,513860,240,5.07,2011-11-12 10:27,WHITE HANGING HEART T-LIGHT HOLDER
C10046,552176,10,2.44,2011-05-20 16:48,LUNCH BAG BLACK SKULL
